,Entry,CHW Flowrate,CHWRT,CHWST,Chilled Water Request,OA Humidity,OA Temperature,Apparent Power,3rd Floor AHU-1|SA Airflow,3rd Floor AHU-2|SA Airflow,3rd Floor AHU-3|SA Airflow,3rd Floor AHU-7|SA Airflow,3rd Floor AHU-8|SA Airflow,Level 2 AHU-4|SA Airflow,Level 2 AHU-5|SA Airflow,Roof AHU-10|SA Airflow,Roof AHU-11|SA Airflow,Roof AHU-12|SA Airflow,Roof AHU-9|SA Airflow,3rd Floor AHU-1|RA Humidity,3rd Floor AHU-2|RA Humidity,3rd Floor AHU-3|RA Humidity,3rd Floor AHU-7|RA Humidity,3rd Floor AHU-8|RA Humidity,Level 2 AHU-4|RA Humidity,Level 2 AHU-5|RA Humidity,Roof AHU-10|RA Humidity,Roof AHU-11|RA Humidity,Roof AHU-12|RA Humidity,Roof AHU-9|RA Humidity,Run Time
1440,1,0,52.78289032,46.85855484,0,58.00999832,69.96499634,421204,1694.297607,0,1980.792969,949.9193726,10551.84766,599.2999878,0,9231.152344,10984.1416,9071.8125,5845.656738,40.08000183,30.93703651,40.93322372,43.61120987,43.83262253,37.19386673,43.31969833,44.387146,45.08000183,45.42478943,44.81000137,0
1441,2,0,52.88293076,46.80853653,0,58.00999832,69.96499634,424378,1692.494995,0,1947.038696,961.4232178,10556.53516,631.2272949,0,9353.25,10972.72852,9279.202148,5780.47998,40.03144455,30.89548492,40.93000031,43.90194702,43.83000183,36.35375214,43.29212952,44.44127655,45.08614731,45.77223587,44.80344009,0
1442,3,0,52.90000153,46.79999924,0,58.00999832,69.92264557,408166,1689.749268,0,1902.605225,983.8330078,10561.21484,670.954895,0,9167.333984,10923.89551,9296.760742,5805.56543,39.93344498,30.85747719,40.93000031,43.49383926,43.83000183,35.5556221,43.26213074,44.95304108,45.09815216,46.18017578,44.79144287,0
1443,4,0,52.8170929,46.88290787,0,58.00999832,69.87265015,391820,1687.00354,0,1858.171753,1006.242798,10565.89355,710.6824341,0,8981.416992,10875.0625,9314.319336,5830.650391,39.8354454,30.81946754,40.93000031,43.08572769,43.83000183,34.75749588,43.23213577,45.4648056,45.1101532,46.58811188,44.77944565,0
1444,5,0,52.79999924,46.90000153,0,58.00999832,69.82265472,400133,1684.257813,0,1813.738281,1028.652588,10570.57324,750.4099731,0,8795.5,10826.22949,9331.876953,5855.735352,39.73744965,30.78145981,40.93000031,42.67761993,43.83000183,33.95936584,43.20214081,45.97657013,45.12215424,46.99605179,44.76744461,0
1445,6,0,52.79999924,45.40880966,0,58.00999832,69.77265167,390978,1681.512085,0,1769.30481,1051.062378,10575.25195,790.1375122,0,8609.583984,10777.39648,9349.435547,5880.820313,39.63945007,30.74345207,40.93000031,42.26951218,43.83000183,33.16123581,43.17214584,46.48833466,45.13415527,47.4039917,44.75544739,0
1446,7,0,52.63420868,44.68552017,0,58.00999832,69.72265625,389314,1682.557617,0,1757.586548,1048.621948,10575.31934,787.3396606,0,8461.402344,10746.08984,9329.695313,5902.24707,39.5414505,30.70673752,40.92722702,41.60365677,43.83675385,33.09103775,43.15999985,46.62654877,45.13692093,46.59221649,44.75327682,0
1447,8,0,52.51710892,44.51710892,0,58.00999832,69.71499634,387415,1684.390137,0,1754.287964,1037.729248,10571.79785,772.4727783,0,8379.678711,10747.78906,9234.024414,5917.666992,39.44345093,30.67073059,40.9212265,40.57164764,43.8487587,33.920784,43.15999985,46.43053436,45.13092422,44.53608704,44.75927734,0
1448,9,0,52.29275131,44.33420181,0,58.00999832,69.71499634,385514,1686.222656,0,1750.989502,1026.836548,10568.27637,757.605896,0,8297.955078,10749.48926,9138.352539,5933.087402,39.34545517,30.63472557,40.91522598,39.53963852,43.86076355,34.75053406,43.15999985,46.23452377,45.12492371,42.47995758,44.76527786,0
1449,10,0,52.04271317,44.13417053,0,58.00999832,69.71499634,397829,1688.055298,0,1747.690918,1015.943909,10564.75488,742.7390137,0,8216.231445,10751.18848,9042.680664,5948.507813,39.2474556,30.59871864,40.90922546,38.50762558,43.87276459,35.5802803,43.15999985,46.03851318,45.118927,40.42382813,44.77127457,0
